team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Leicester City,11.0,19.0,46.0,49.0,4.0,456.0,137.0,12.0,7.0,3.0,0.0,38.0,8.0,3.0,60.0,10.0,55.0,124.0,161.0,750.0,791.0,5.0,1177.0,701.0,5.0,4.0,3.0,13343.0,22.0,2706.0,1985.0,912.0,211.0,21547.0,44.0,2.0,355.0,0.0,38.0,26.0,2014-2015
Leicester City,23.0,3.0,68.0,48.0,3.0,522.0,179.0,11.0,11.0,10.0,0.0,65.0,3.0,6.0,50.0,15.0,36.0,99.0,166.0,819.0,869.0,0.0,1040.0,552.0,0.0,4.0,4.0,13370.0,54.0,2695.0,1970.0,762.0,197.0,21710.0,61.0,7.0,366.0,0.0,49.0,22.0,2015-2016
Leicester City,12.0,18.0,48.0,72.0,1.0,433.0,145.0,8.0,10.0,4.0,1.0,39.0,9.0,4.0,65.0,9.0,63.0,131.0,141.0,538.0,677.0,3.0,1025.0,567.0,2.0,4.0,4.0,13671.0,25.0,2792.0,1916.0,731.0,197.0,21051.0,29.0,2.0,310.0,0.0,45.0,16.0,2016-2017
Leicester City,12.0,15.0,56.0,52.0,5.0,423.0,149.0,8.0,9.0,5.0,1.0,49.0,7.0,7.0,92.0,9.0,60.0,107.0,130.0,413.0,630.0,1.0,920.0,487.0,2.0,4.0,2.0,15200.0,63.0,2667.0,2094.0,744.0,203.0,22770.0,35.0,4.0,358.0,2.0,29.0,23.0,2017-2018
