team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Wolverhampton Wanderers,9.0,18.0,32.0,63.0,4.0,436.0,119.0,8.0,6.0,2.0,0.0,29.0,3.0,0.0,65.0,8.0,56.0,0.0,127.0,537.0,705.0,15.0,1618.0,784.0,3.0,6.0,5.0,13020.0,60.0,2307.0,,940.0,204.0,22641.0,,6.0,410.0,1.0,118.0,29.0,2009-2010
Wolverhampton Wanderers,11.0,20.0,46.0,62.0,2.0,459.0,139.0,14.0,10.0,3.0,1.0,41.0,5.0,1.0,93.0,5.0,66.0,0.0,151.0,520.0,677.0,11.0,1205.0,663.0,2.0,4.0,4.0,14823.0,82.0,2350.0,2256.0,1104.0,241.0,22772.0,29.0,7.0,426.0,0.0,84.0,19.0,2010-2011
Wolverhampton Wanderers,5.0,23.0,40.0,64.0,4.0,473.0,152.0,10.0,9.0,3.0,0.0,37.0,3.0,1.0,82.0,4.0,82.0,9.0,159.0,598.0,619.0,4.0,1178.0,495.0,2.0,7.0,5.0,14860.0,30.0,2249.0,2538.0,999.0,205.0,22585.0,29.0,6.0,425.0,2.0,81.0,22.0,2011-2012
