team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Hull City,8.0,19.0,39.0,71.0,3.0,476.0,149.0,9.0,13.0,3.0,3.0,33.0,6.0,5.0,141.0,6.0,64.0,,160.0,624.0,811.0,15.0,1677.0,967.0,4.0,3.0,2.0,11809.0,83.0,2363.0,,930.0,186.0,21712.0,,4.0,490.0,1.0,56.0,22.0,2008-2009
Hull City,6.0,20.0,34.0,64.0,6.0,388.0,120.0,6.0,8.0,6.0,2.0,27.0,7.0,1.0,86.0,7.0,75.0,0.0,157.0,674.0,760.0,12.0,1528.0,805.0,5.0,8.0,7.0,11731.0,46.0,2128.0,,753.0,150.0,21522.0,,4.0,535.0,1.0,59.0,46.0,2009-2010
Hull City,10.0,21.0,38.0,53.0,4.0,427.0,132.0,16.0,10.0,2.0,1.0,30.0,8.0,2.0,86.0,10.0,53.0,106.0,146.0,616.0,723.0,4.0,1048.0,588.0,2.0,4.0,3.0,15267.0,22.0,2181.0,2431.0,853.0,160.0,22985.0,31.0,6.0,413.0,1.0,24.0,24.0,2013-2014
Hull City,8.0,19.0,33.0,73.0,6.0,428.0,131.0,11.0,10.0,1.0,0.0,30.0,3.0,2.0,72.0,10.0,51.0,102.0,158.0,607.0,763.0,2.0,1316.0,761.0,0.0,3.0,1.0,14864.0,21.0,2726.0,2237.0,804.0,169.0,22464.0,22.0,7.0,443.0,2.0,36.0,23.0,2014-2015
Hull City,9.0,22.0,37.0,67.0,5.0,397.0,126.0,10.0,5.0,3.0,2.0,33.0,4.0,3.0,71.0,5.0,80.0,137.0,184.0,573.0,631.0,3.0,1101.0,600.0,5.0,13.0,11.0,15596.0,41.0,2650.0,2487.0,739.0,179.0,22779.0,18.0,6.0,399.0,2.0,40.0,18.0,2016-2017
