team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Reading,16.0,15.0,52.0,38.0,3.0,419.0,132.0,8.0,15.0,3.0,0.0,42.0,10.0,3.0,87.0,13.0,47.0,4.0,95.0,277.0,855.0,0.0,1022.0,,3.0,6.0,6.0,11232.0,,2378.0,,1067.0,280.0,18017.0,,2.0,,0.0,63.0,21.0,2006-2007
Reading,10.0,22.0,41.0,59.0,5.0,441.0,132.0,10.0,12.0,2.0,1.0,35.0,6.0,3.0,60.0,8.0,66.0,7.0,128.0,452.0,800.0,2.0,1783.0,859.0,2.0,7.0,3.0,10431.0,45.0,2199.0,,1087.0,238.0,19140.0,,6.0,532.0,2.0,61.0,28.0,2007-2008
Reading,6.0,22.0,43.0,45.0,1.0,394.0,128.0,9.0,12.0,4.0,1.0,39.0,4.0,2.0,80.0,5.0,73.0,0.0,166.0,560.0,602.0,10.0,1300.0,620.0,0.0,4.0,4.0,11806.0,38.0,1855.0,1760.0,1009.0,189.0,19613.0,25.0,12.0,442.0,0.0,47.0,37.0,2012-2013
