team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
AFC Bournemouth,11.0,18.0,45.0,53.0,1.0,464.0,143.0,8.0,11.0,3.0,0.0,39.0,6.0,0.0,66.0,7.0,67.0,90.0,106.0,640.0,709.0,1.0,951.0,526.0,0.0,6.0,4.0,17270.0,33.0,2484.0,2541.0,749.0,221.0,25291.0,25.0,2.0,410.0,2.0,58.0,12.0,2015-2016
AFC Bournemouth,12.0,16.0,55.0,52.0,3.0,452.0,160.0,19.0,5.0,7.0,0.0,51.0,5.0,2.0,53.0,10.0,67.0,123.0,150.0,460.0,604.0,1.0,1092.0,616.0,5.0,5.0,2.0,17152.0,51.0,2461.0,2651.0,628.0,193.0,24801.0,31.0,4.0,439.0,2.0,36.0,21.0,2016-2017
AFC Bournemouth,11.0,16.0,45.0,55.0,1.0,465.0,158.0,10.0,4.0,3.0,1.0,38.0,7.0,0.0,52.0,6.0,61.0,111.0,160.0,367.0,508.0,3.0,1037.0,523.0,1.0,3.0,2.0,16131.0,37.0,2299.0,2257.0,707.0,218.0,23634.0,24.0,6.0,419.0,1.0,37.0,20.0,2017-2018
