team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Swansea City,12.0,15.0,44.0,40.0,2.0,472.0,145.0,14.0,7.0,5.0,1.0,36.0,8.0,1.0,67.0,14.0,51.0,0.0,146.0,579.0,709.0,3.0,1048.0,439.0,2.0,3.0,1.0,20795.0,105.0,2121.0,3726.0,721.0,201.0,28300.0,36.0,3.0,518.0,2.0,69.0,22.0,2011-2012
Swansea City,11.0,14.0,47.0,58.0,2.0,504.0,167.0,11.0,7.0,0.0,1.0,41.0,6.0,2.0,87.0,10.0,51.0,0.0,157.0,697.0,686.0,2.0,1353.0,695.0,1.0,5.0,4.0,19943.0,79.0,2024.0,3599.0,790.0,193.0,27641.0,42.0,10.0,361.0,1.0,51.0,25.0,2012-2013
Swansea City,11.0,18.0,54.0,55.0,3.0,496.0,161.0,7.0,9.0,4.0,0.0,45.0,9.0,0.0,76.0,8.0,54.0,96.0,117.0,644.0,674.0,7.0,1083.0,606.0,1.0,4.0,4.0,21113.0,49.0,2126.0,3312.0,902.0,226.0,29158.0,20.0,6.0,400.0,0.0,45.0,20.0,2013-2014
Swansea City,16.0,14.0,46.0,48.0,5.0,426.0,147.0,12.0,5.0,2.0,2.0,38.0,8.0,1.0,80.0,13.0,49.0,141.0,146.0,693.0,634.0,0.0,1203.0,646.0,1.0,2.0,2.0,17877.0,56.0,2291.0,2918.0,634.0,151.0,25645.0,35.0,3.0,363.0,0.0,91.0,31.0,2014-2015
Swansea City,12.0,15.0,42.0,60.0,1.0,441.0,136.0,14.0,6.0,5.0,3.0,35.0,7.0,3.0,82.0,9.0,52.0,119.0,134.0,679.0,638.0,2.0,1058.0,559.0,5.0,2.0,2.0,18169.0,46.0,2416.0,2796.0,725.0,163.0,25989.0,31.0,2.0,465.0,0.0,85.0,34.0,2015-2016
Swansea City,12.0,21.0,45.0,56.0,0.0,405.0,145.0,10.0,15.0,3.0,2.0,40.0,5.0,1.0,49.0,8.0,70.0,121.0,136.0,459.0,635.0,1.0,1037.0,539.0,5.0,9.0,6.0,16131.0,15.0,2579.0,2495.0,864.0,196.0,23728.0,25.0,2.0,446.0,1.0,72.0,16.0,2016-2017
Swansea City,8.0,21.0,28.0,51.0,1.0,338.0,103.0,8.0,3.0,1.0,0.0,24.0,4.0,0.0,38.0,9.0,56.0,137.0,124.0,390.0,610.0,2.0,943.0,499.0,2.0,7.0,3.0,15721.0,23.0,2580.0,2582.0,694.0,150.0,22775.0,26.0,1.0,439.0,3.0,44.0,15.0,2017-2018
