team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Portsmouth,14.0,12.0,45.0,48.0,1.0,525.0,186.0,9.0,13.0,2.0,0.0,32.0,13.0,2.0,141.0,12.0,42.0,14.0,96.0,220.0,948.0,1.0,1164.0,,0.0,8.0,6.0,12616.0,,2276.0,,783.0,247.0,19377.0,,4.0,,2.0,79.0,30.0,2006-2007
Portsmouth,16.0,13.0,48.0,55.0,3.0,559.0,160.0,9.0,4.0,4.0,2.0,35.0,13.0,6.0,95.0,16.0,40.0,4.0,105.0,521.0,963.0,1.0,2103.0,1029.0,3.0,4.0,2.0,12794.0,37.0,2278.0,,663.0,184.0,21907.0,,4.0,683.0,2.0,77.0,28.0,2007-2008
Portsmouth,10.0,17.0,38.0,58.0,5.0,500.0,152.0,19.0,10.0,2.0,1.0,32.0,6.0,2.0,81.0,8.0,57.0,,113.0,653.0,922.0,17.0,1552.0,892.0,0.0,7.0,6.0,14497.0,142.0,2379.0,,852.0,194.0,25414.0,,9.0,601.0,1.0,79.0,26.0,2008-2009
Portsmouth,7.0,24.0,34.0,68.0,5.0,533.0,151.0,7.0,7.0,3.0,1.0,31.0,3.0,2.0,93.0,7.0,66.0,0.0,135.0,681.0,774.0,14.0,1356.0,751.0,3.0,9.0,8.0,13509.0,95.0,1977.0,,818.0,189.0,23416.0,,4.0,497.0,1.0,83.0,27.0,2009-2010
