team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Wigan Athletic,10.0,20.0,37.0,73.0,3.0,474.0,147.0,9.0,6.0,3.0,1.0,31.0,6.0,2.0,84.0,10.0,59.0,13.0,91.0,204.0,809.0,0.0,1206.0,,5.0,7.0,5.0,11353.0,,2418.0,,813.0,177.0,17564.0,,4.0,,2.0,61.0,29.0,2006-2007
Wigan Athletic,10.0,18.0,34.0,59.0,4.0,489.0,141.0,11.0,6.0,4.0,1.0,28.0,6.0,3.0,137.0,12.0,51.0,5.0,129.0,531.0,883.0,3.0,1837.0,917.0,1.0,4.0,2.0,11684.0,27.0,2163.0,,767.0,186.0,19855.0,,7.0,510.0,1.0,68.0,14.0,2007-2008
Wigan Athletic,12.0,17.0,34.0,59.0,4.0,590.0,163.0,10.0,3.0,5.0,2.0,29.0,5.0,2.0,101.0,13.0,45.0,,110.0,685.0,934.0,12.0,1636.0,927.0,1.0,3.0,2.0,12319.0,139.0,2226.0,,943.0,210.0,23071.0,,10.0,445.0,1.0,38.0,20.0,2008-2009
Wigan Athletic,9.0,20.0,37.0,65.0,3.0,555.0,174.0,13.0,10.0,1.0,2.0,32.0,5.0,1.0,50.0,8.0,79.0,0.0,131.0,743.0,908.0,13.0,1353.0,666.0,1.0,7.0,7.0,14753.0,126.0,2607.0,,681.0,181.0,25000.0,,11.0,613.0,0.0,46.0,20.0,2009-2010
Wigan Athletic,9.0,14.0,40.0,67.0,4.0,511.0,170.0,9.0,3.0,2.0,5.0,32.0,8.0,5.0,71.0,7.0,61.0,0.0,116.0,763.0,914.0,20.0,1196.0,628.0,0.0,6.0,4.0,15180.0,111.0,2217.0,2183.0,620.0,169.0,23517.0,39.0,5.0,540.0,1.0,50.0,25.0,2010-2011
Wigan Athletic,11.0,17.0,42.0,67.0,3.0,519.0,162.0,13.0,6.0,5.0,1.0,29.0,13.0,2.0,71.0,8.0,62.0,0.0,129.0,578.0,729.0,7.0,925.0,413.0,1.0,8.0,4.0,15715.0,55.0,2154.0,2322.0,744.0,212.0,22943.0,41.0,3.0,414.0,4.0,42.0,23.0,2011-2012
Wigan Athletic,9.0,20.0,47.0,66.0,2.0,500.0,170.0,7.0,9.0,1.0,2.0,42.0,5.0,3.0,83.0,5.0,73.0,0.0,135.0,692.0,716.0,3.0,901.0,423.0,3.0,7.0,6.0,17927.0,54.0,2048.0,2773.0,813.0,198.0,25173.0,36.0,5.0,418.0,1.0,41.0,28.0,2012-2013
