team,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Bolton Wanderers,16.0,14.0,47.0,84.0,4.0,404.0,120.0,7.0,10.0,6.0,0.0,38.0,9.0,3.0,95.0,12.0,52.0,13.0,101.0,235.0,811.0,0.0,1037.0,,3.0,8.0,6.0,12400.0,,2403.0,,942.0,217.0,18932.0,,6.0,,2.0,44.0,21.0,2006-2007
Bolton Wanderers,9.0,19.0,36.0,76.0,0.0,451.0,149.0,14.0,5.0,0.0,2.0,30.0,6.0,2.0,111.0,12.0,54.0,0.0,145.0,542.0,866.0,3.0,2166.0,1128.0,4.0,5.0,5.0,11854.0,22.0,2163.0,,905.0,208.0,20846.0,,6.0,545.0,0.0,47.0,20.0,2007-2008
Bolton Wanderers,11.0,19.0,41.0,62.0,1.0,488.0,154.0,7.0,10.0,0.0,3.0,35.0,6.0,2.0,71.0,7.0,53.0,,183.0,555.0,890.0,14.0,1880.0,1023.0,2.0,7.0,6.0,10649.0,81.0,2078.0,,853.0,201.0,20876.0,,5.0,448.0,1.0,42.0,28.0,2008-2009
Bolton Wanderers,10.0,19.0,42.0,74.0,5.0,558.0,163.0,10.0,10.0,4.0,2.0,38.0,4.0,0.0,58.0,5.0,67.0,0.0,147.0,735.0,912.0,15.0,1638.0,936.0,4.0,5.0,3.0,11404.0,114.0,2277.0,,875.0,183.0,21587.0,,9.0,445.0,2.0,50.0,19.0,2009-2010
Bolton Wanderers,12.0,16.0,52.0,67.0,5.0,570.0,173.0,9.0,10.0,4.0,1.0,44.0,8.0,3.0,57.0,5.0,56.0,0.0,150.0,627.0,939.0,17.0,1466.0,854.0,0.0,6.0,3.0,12704.0,104.0,2360.0,1579.0,850.0,197.0,21351.0,42.0,10.0,418.0,2.0,46.0,22.0,2010-2011
Bolton Wanderers,10.0,22.0,46.0,50.0,5.0,495.0,163.0,8.0,7.0,5.0,0.0,40.0,6.0,0.0,55.0,3.0,77.0,0.0,169.0,694.0,732.0,9.0,1255.0,648.0,1.0,3.0,2.0,13580.0,101.0,2123.0,1955.0,769.0,210.0,21694.0,25.0,8.0,442.0,1.0,58.0,16.0,2011-2012
