age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom,status
17.0,Derby County,"Jul 4, 1993",right,"1,75m",160137,"Jul 1, 2011",,Tom Barkhuizen,"['England', 'South Africa']",Blackpool-FC,Left Winger,2010-2011,Blackpool FC U18,Calf strain - Return unknown
30.0,Retired,"Jun 4, 1981",right,"1,83m",49101,"Jul 10, 2007",€2.00m,Gary Taylor-Fletcher,['England'],Blackpool-FC,Right Winger,2010-2011,: Ablöse €125k,
20.0,Oxford United,"Mar 13, 1991",right,"1,83m",77274,"Aug 31, 2010",€1.50m,Matt Phillips,"['Scotland', 'England']",Blackpool-FC,Right Winger,2010-2011,Wycombe Wanderers,
23.0,Retired,"Dec 13, 1987",left,"1,70m",33248,"Jul 1, 2009",€500k,Billy Clarke,['Ireland'],Blackpool-FC,Second Striker,2010-2011,Ipswich Town,
34.0,Retired,"Feb 6, 1977",,"1,80m",3092,"Jul 1, 2009",€500k,Jason Euell,"['Jamaica', 'England']",Blackpool-FC,Second Striker,2010-2011,Southampton FC,
28.0,Retired,"Sep 28, 1982",right,"1,81m",14177,"Jul 1, 2010",€3.00m,Luke Varney,['England'],Blackpool-FC,Centre-Forward,2010-2011,: Ablöse free transfer,
28.0,Retired,"Jun 14, 1983",left,"1,86m",15881,"Jan 31, 2011",€3.00m,Sergey Kornilenko,"['Belarus', 'Russia']",Blackpool-FC,Centre-Forward,2010-2011,: Ablöse €300k,
29.0,Retired,"Nov 12, 1981",right,"1,78m",37896,"Aug 1, 2010",€2.50m,DJ Campbell,['England'],Blackpool-FC,Centre-Forward,2010-2011,Leicester City,
31.0,Retired,"Aug 25, 1979",right,"1,85m",10011,"Aug 2, 2010",€2.00m,Marlon Harewood,"['England', 'Barbados']",Blackpool-FC,Centre-Forward,2010-2011,: Ablöse free transfer,
33.0,Retired,"Feb 27, 1978",right,"1,85m",3112,"Jan 31, 2011",€2.00m,James Beattie,['England'],Blackpool-FC,Centre-Forward,2010-2011,: Ablöse free transfer,
34.0,Retired,"Oct 18, 1976",right,"1,80m",4113,"Jan 30, 2009",€1.00m,Brett Ormerod,['England'],Blackpool-FC,Centre-Forward,2010-2011,: Ablöse free transfer,
19.0,Without Club,"Jan 5, 1992",right,"1,80m",123336,"Jul 1, 2009",€50k,Louis Almond,['England'],Blackpool-FC,Centre-Forward,2010-2011,Blackpool FC U18,
